"city_name","region","level_2_id","level_2_name","level_3_id","level_3_name","level_4_id","level_4_name","level_5_id","level_5_name","level_6_id","level_6_name","indicator_level","indicator_id","indicator_name","indicator_year","scenario_name","indicator_pessimist_outcome","indicator_value","indicator_color","indicator_valuename"
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,,,,,,,3,1000,Seca,2015,current,1.0,0.37,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,,,,,,,3,1000,Seca,2030,pesimistic,1.0,0.51,#FFCD00,Médio
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,,,,,,,3,1000,Seca,2030,optimistic,1.0,0.54,#FFCD00,Médio
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,,,,,,,3,1000,Seca,2050,pesimistic,1.0,0.47,#FFCD00,Médio
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,,,,,,,3,1000,Seca,2050,optimistic,1.0,0.46,#FFCD00,Médio
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1001.0,Vulnerabilidade,,,,,4,1001,Vulnerabilidade,2015,current,1.0,0.25,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1002.0,Exposição,,,,,4,1002,Exposição,2015,current,1.0,0.32,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1003.0,Ameaça Climática,,,,,4,1003,Ameaça Climática,2015,current,1.0,0.2,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1003.0,Ameaça Climática,,,,,4,1003,Ameaça Climática,2030,optimistic,1.0,0.47,#FFCD00,Médio
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1003.0,Ameaça Climática,,,,,4,1003,Ameaça Climática,2030,pesimistic,1.0,0.42,#FFCD00,Médio
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1003.0,Ameaça Climática,,,,,4,1003,Ameaça Climática,2050,optimistic,1.0,0.32,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1003.0,Ameaça Climática,,,,,4,1003,Ameaça Climática,2050,pesimistic,1.0,0.34,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1001.0,Vulnerabilidade,1004.0,Sensibilidade,,,5,1004,Sensibilidade,2015,current,1.0,0.28,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1001.0,Vulnerabilidade,1005.0,Capacidade Adaptativa,,,5,1005,Capacidade Adaptativa,2015,current,0.0,0.67,#A9DE00,Alto
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1001.0,Vulnerabilidade,1004.0,Sensibilidade,1006.0,Oferta e demanda,6,1006,Oferta e demanda,2015,current,1.0,0.55,#FFCD00,Médio
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1001.0,Vulnerabilidade,1004.0,Sensibilidade,1007.0,Acesso e ineficiência do uso,6,1007,Acesso e ineficiência do uso,2015,current,1.0,0.27,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1001.0,Vulnerabilidade,1004.0,Sensibilidade,1008.0,Riscos à saúde,6,1008,Riscos à saúde,2015,current,1.0,0.3,#A9DE00,Baixo
Florestópolis,PR,1.0,Recursos Hídricos,1000.0,Seca,1001.0,Vulnerabilidade,1005.0,Capacidade Adaptativa,1009.0,Planejamento e gestão,6,1009,Planejamento e gestão,2015,current,0.0,0.46,#FFCD00,Médio
